"county"	"party"	"votes"	"p"
"georgia,barrow"	"Republican"	17625	0.000136179932005997
"georgia,bartow"	"Republican"	25976	0.000200704108583704
"georgia,ben hill"	"Republican"	3417	2.64015221369925e-05
"georgia,berrien"	"Republican"	4901	3.78676792488734e-05
"georgia,bibb"	"Republican"	27037	0.000208901947327441
"georgia,bleckley"	"Republican"	3657	2.82558871685635e-05
"georgia,brantley"	"Republican"	5080	3.92507265015868e-05
"georgia,brooks"	"Republican"	3507	2.70969090238317e-05
"georgia,bryan"	"Republican"	9112	7.040405903198e-05
"georgia,bulloch"	"Republican"	14174	0.000109515708156199
"georgia,burke"	"Republican"	4344	3.35640070714356e-05
"georgia,butts"	"Republican"	5947	4.59496201781371e-05
"georgia,calhoun"	"Republican"	862	6.66026107172594e-06
"georgia,camden"	"Republican"	10502	8.11439231731622e-05
"georgia,candler"	"Republican"	2286	1.7662826925714e-05
"georgia,carroll"	"Republican"	28661	0.000221449817374405
"georgia,catoosa"	"Republican"	18218	0.000140761758938171
"georgia,charlton"	"Republican"	2466	1.90536006993923e-05
"georgia,chatham"	"Republican"	46829	0.000361825250264332
"georgia,chattahoochee"	"Republican"	811	6.2662085025171e-06
"georgia,chattooga"	"Republican"	5572	4.30521748163074e-05
"georgia,cherokee"	"Republican"	70279	0.000543012166890751
"georgia,clarke"	"Republican"	15333	0.000118470745954494
"georgia,clay"	"Republican"	558	4.31139869840264e-06
"georgia,clayton"	"Republican"	16506	0.000127533955046297
"georgia,clinch"	"Republican"	1678	1.29651021790674e-05
"georgia,cobb"	"Republican"	170957	0.00132090284459287
"georgia,coffee"	"Republican"	8872	6.8549694000409e-05
"georgia,colquitt"	"Republican"	9185	7.09680950624162e-05
"georgia,columbia"	"Republican"	39322	0.000303822257380983
"georgia,cook"	"Republican"	3782	2.92217022891735e-05
"georgia,coweta"	"Republican"	37571	0.00029029311917148
"georgia,crawford"	"Republican"	3358	2.59456574000646e-05
"georgia,crisp"	"Republican"	4424	3.4182128748626e-05
"georgia,dade"	"Republican"	4703	3.63378280978273e-05
"georgia,dawson"	"Republican"	8242	6.3681985792535e-05
"georgia,decatur"	"Republican"	5890	4.5509208483139e-05
"georgia,de kalb"	"Republican"	65581	0.000506712971397748
